Track Name,Artist Name,Rank,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Valence
Under Pressure - Remastered 2011,Queen,67,0.422,0.671,0.711,0,0.104,0.0478,113.809,0.466
Phantom Of The Opera,Floor Jansen,68,0.00251,0.471,0.869,2.41e-05,0.246,0.0473,131.956,0.271
Don't Stop Me Now - Remastered 2011,Queen,69,0.0472,0.563,0.865,0.000191,0.77,0.16,156.271,0.601
God Only Knows - Remastered 1999,The Beach Boys,70,0.252,0.517,0.421,0,0.0933,0.0321,117.198,0.447
Mr. Blue Sky,Electric Light Orchestra,71,0.652,0.388,0.338,3.73e-06,0.248,0.0329,177.765,0.478
Bridge Over Troubled Water,Simon & Garfunkel,72,0.822,0.149,0.206,0.000649,0.115,0.0323,79.764,0.264
Uprising,Muse,73,0.000202,0.602,0.905,0.064,0.117,0.0775,128.019,0.411
Highway to Hell,AC/DC,74,0.061,0.574,0.913,0.00158,0.156,0.133,115.728,0.423
Sunday Bloody Sunday - Remastered 2008,U2,75,0.402,0.543,0.944,0.000564,0.0373,0.0543,101.174,0.735
Back To Black,Amy Winehouse,76,0.134,0.403,0.422,2.05e-05,0.0861,0.0373,122.728,0.378
Impossible (Orchestral Version) [Live at Abbey Road],Nothing But Thieves,77,0.0593,0.383,0.647,5.31e-06,0.0987,0.0365,82.963,0.112
Sympathy For The Devil,The Rolling Stones,78,0.61,0.728,0.681,0,0.0559,0.221,115.944,0.578
With Or Without You - Remastered,U2,79,0.000202,0.54,0.429,0.355,0.141,0.0285,110.171,0.113
"Another Brick in the Wall, Pt. 2",Pink Floyd,80,0.0782,0.693,0.394,0.000694,0.247,0.0428,104.114,0.721
Somebody To Love - Remastered 2011,Queen,81,0.19,0.497,0.693,0,0.215,0.0565,111.539,0.358
Sorry,Kensington,82,0.502,0.461,0.409,0,0.0979,0.0315,133.956,0.0895
Brabant,Guus Meeuwis,83,0.561,0.407,0.466,0.00894,0.103,0.0311,81.568,0.387
Another Love,Tom Odell,84,0.695,0.445,0.537,1.65e-05,0.0944,0.04,122.769,0.131
Let It Be - Remastered 2009,The Beatles,85,0.631,0.443,0.403,0,0.111,0.0322,143.462,0.41
Under the Bridge,Red Hot Chili Peppers,86,0.0576,0.559,0.345,0.000105,0.141,0.0459,84.581,0.458
Old and Wise,The Alan Parsons Project,87,0.727,0.375,0.317,2.92e-05,0.123,0.0315,112.003,0.12
Dreams - 2004 Remaster,Fleetwood Mac,88,0.0644,0.828,0.492,0.00428,0.128,0.0276,120.151,0.789
Clocks,Coldplay,89,0.599,0.577,0.749,0.0115,0.183,0.0279,130.97,0.255
Angels,Robbie Williams,90,0.156,0.429,0.594,4.95e-06,0.1,0.0277,150.22,0.236
Pastorale - Remastered,Liesbeth List,91,0.646,0.463,0.523,0,0.283,0.0272,111.838,0.346
Songbird - 2004 Remaster,Fleetwood Mac,92,0.982,0.58,0.0842,0.00126,0.11,0.0302,92.123,0.388
Here Comes The Sun - Remastered 2009,The Beatles,93,0.0339,0.557,0.54,0.00248,0.179,0.0347,129.171,0.394
One,U2,94,0.245,0.392,0.534,0.00104,0.155,0.0369,181.305,0.325
Deutschland,Rammstein,95,5.54e-05,0.521,0.895,0.349,0.0985,0.0442,120.117,0.237
Gimme Shelter,The Rolling Stones,96,0.447,0.634,0.63,0.039,0.17,0.031,118.628,0.489
Suspicious Minds,Elvis Presley,97,0.0422,0.487,0.382,4.74e-06,0.411,0.0309,116.557,0.714
Du hast,Rammstein,98,0.00369,0.64,0.922,0.055,0.332,0.0385,125.105,0.716
Private Investigations,Dire Straits,99,0.699,0.551,0.101,0.542,0.0811,0.0309,84.407,0.0691
Whole Lotta Rosie,AC/DC,100,0.0014,0.292,0.838,0.479,0.0953,0.078,159.176,0.423
