track_name,artist_names,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
"3, 2, 1",24kGoldn,0.6920000000000001,0.7,0.0,1.0,-2.09,0.14800000000000002,0.242,0.0,0.15,0.7040000000000001,165.024,131596.0
30 (feat. Bizzy Banks),"Pop Smoke, Bizzy Banks",0.578,0.684,0.0,1.0,-5.9079999999999995,0.191,0.107,0.0,0.49,0.595,106.743,228252.0
34+35,Ariana Grande,0.83,0.585,0.0,1.0,-6.476,0.094,0.237,0.0,0.248,0.485,109.978,173711.0
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",0.7695000000000001,0.662,2.5,1.0,-5.7669999999999995,0.369,0.20800000000000002,0.0,0.22749999999999998,0.7150000000000001,109.9725,182438.0
"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix","Wisin, Yandel, Farruko, Jon Z, Don Chezina, Chencho Corleone, Myke Towers",0.833,0.858,9.0,1.0,-3.283,0.0794,0.0696,0.0,0.239,0.675,91.96700000000001,366613.0
3G (feat. Lil Uzi Vert),"Yeat, Lil Uzi Vert",0.758,0.5720000000000001,1.0,1.0,-8.087,0.205,0.00773,1.18e-05,0.152,0.152,135.984,170640.0
4 Da Gang (with Roddy Ricch),"42 Dugg, Roddy Ricch",0.87,0.561,7.0,1.0,-10.388,0.18600000000000005,0.0124,0.0,0.10300000000000001,0.691,100.458,156368.0
4th Baby Mama,Summer Walker,0.8740000000000001,0.348,9.0,1.0,-9.642999999999999,0.0767,0.33899999999999997,8.599999999999999e-06,0.11599999999999999,0.151,111.98,225000.0
5 Foot 9,Tyler Hubbard,0.602,0.7959999999999999,5.0,1.0,-5.609,0.0465,0.146,0.0,0.125,0.53,106.005,189780.0
5 Grand at 8 to 1,$uicideboy$,0.7759999999999999,0.7190000000000001,5.0,1.0,-4.431,0.0886,0.444,0.0114,0.195,0.23199999999999998,91.948,169565.0
505,Arctic Monkeys,0.52,0.852,0.0,1.0,-5.8660000000000005,0.0543,0.00237,5.79e-05,0.0733,0.23399999999999999,140.267,253587.0
512,"Mora, Jhay Cortez",0.818,0.6729999999999999,4.0,0.0,-7.5420000000000025,0.14800000000000002,0.348,0.0,0.172,0.695,87.961,193636.0
5150,Machine Gun Kelly,0.535,0.94,11.0,1.0,-4.811,0.0973,0.000181,0.00134,0.0631,0.536,157.994,174849.0
5X,Don Toliver,0.898,0.518,1.0,1.0,-6.9910000000000005,0.21,0.0402,0.0,0.106,0.7979999999999999,145.082,132398.0
7 Summers,Morgan Wallen,0.466,0.7859999999999999,0.0,1.0,-5.13,0.0328,0.41700000000000004,6.1e-05,0.125,0.5710000000000001,203.903,210507.0
7 rings,Ariana Grande,0.778,0.317,1.0,0.0,-10.732000000000001,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,178627.0
712PM,Future,0.711,0.6859999999999999,5.0,0.0,-6.409,0.271,0.0355,0.0,0.124,0.536,146.971,173187.0
734,Juice WRLD,0.635,0.5539999999999999,2.0,0.0,-3.975,0.0343,0.134,0.0,0.11599999999999999,0.315,156.822,196147.0
777,"Bruno Mars, Anderson .Paak, Silk Sonic",0.836,0.622,1.0,1.0,-11.003,0.0946,0.0026899999999999997,0.000566,0.335,0.892,102.015,165001.0
7am On Bridle Path,Drake,0.7240000000000001,0.531,5.0,0.0,-4.1080000000000005,0.298,0.225,0.0,0.11,0.141,89.90100000000002,239635.0
8-Ball (feat. Kid Cudi),"Pop Smoke, Kid Cudi",0.667,0.524,4.0,0.0,-6.84,0.0596,0.105,1.19e-06,0.349,0.561,77.98899999999998,176900.0
865,Morgan Wallen,0.532,0.584,8.0,1.0,-5.254,0.0248,0.723,0.0,0.10099999999999999,0.3670000000000001,88.00299999999999,190680.0
9 5 . s o u t h,J. Cole,0.713,0.7929999999999999,2.0,1.0,-5.277,0.397,0.271,0.0,0.727,0.203,71.72399999999998,196946.0
911,Sech,0.795,0.655,7.0,1.0,-3.815,0.0422,0.076,1.76e-06,0.29600000000000004,0.7440000000000001,93.029,215891.0
911 - Remix,"Sech, Jhay Cortez",0.816,0.71,7.0,1.0,-3.728,0.0398,0.165,0.0,0.292,0.784,93.02,208631.0
999 (with Camilo),"Selena Gomez, Camilo",0.7809999999999999,0.748,1.0,1.0,-4.604,0.242,0.105,0.0,0.156,0.7879999999999999,149.819,224168.0
@ my worst,blackbear,0.615,0.774,4.0,0.0,-5.152,0.0551,0.0173,0.0,0.15,0.336,136.887,191364.0
A Holly Jolly Christmas - Single Version,Burl Ives,0.6829999999999999,0.375,0.0,1.0,-13.056,0.0303,0.579,0.0,0.076,0.888,140.467,135533.0
A Keeper,Drake,0.6,0.48200000000000004,1.0,1.0,-11.595999999999998,0.0701,0.512,0.00010400000000000001,0.115,0.32299999999999995,121.90899999999999,173097.0
A La Antigüita,Calibre 50,0.6509999999999999,0.726,8.0,1.0,-4.144,0.0539,0.382,0.0,0.0535,0.963,179.99,156267.0
A Mí,Rels B,0.846,0.5479999999999999,1.0,1.0,-6.397,0.256,0.24100000000000002,0.0713,0.0419,0.516,94.925,209680.0
A Sky Full of Stars,Coldplay,0.545,0.675,6.0,1.0,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867.0
A Tale By Quincy,The Weeknd,0.447,0.513,5.0,0.0,-8.67,0.127,0.679,2.98e-05,0.096,0.5720000000000001,67.289,96232.0
A Thousand Years,Christina Perri,0.42100000000000004,0.40700000000000003,10.0,1.0,-7.445,0.0267,0.309,0.0009609999999999999,0.11,0.161,139.028,285120.0
A Tu Merced,Bad Bunny,0.86,0.7909999999999999,0.0,1.0,-4.784,0.0568,0.16899999999999998,0.000106,0.106,0.887,92.023,175918.0
A-O-K,Tai Verdes,0.731,0.626,11.0,1.0,-6.919,0.0805,0.125,0.0,0.183,0.862,82.488,173640.0
ADDICTIONS (FEAT. Tre' Amani),"Brent Faiyaz, Tre' Amani",0.889,0.489,10.0,0.0,-8.587,0.10800000000000001,0.0209,1.7800000000000002e-05,0.0814,0.843,93.039,192011.0
ADMIT IT,Ski Mask The Slump God,0.8320000000000001,0.638,9.0,1.0,-7.307,0.19,0.000245,0.0,0.0925,0.574,173.873,93920.0
ADMV,Maluma,0.561,0.39,9.0,1.0,-4.959,0.0568,0.8190000000000001,0.0,0.126,0.705,163.919,193700.0
AGUA,"Daddy Yankee, Rauw Alejandro, Nile Rodgers",0.8340000000000001,0.68,5.0,0.0,-4.082,0.0421,0.0495,2.61e-05,0.0751,0.32,118.03,204520.0
AHHH HA,Lil Durk,0.6759999999999999,0.61,1.0,1.0,-9.185,0.273,0.00011399999999999999,1.73e-06,0.191,0.519,156.005,186538.0
ALL MINE,Brent Faiyaz,0.617,0.37799999999999995,9.0,1.0,-8.54,0.0315,0.428,9.159999999999999e-05,0.11,0.22,141.967,216063.0
ALMAS GEMELAS,Myke Towers,0.7929999999999999,0.745,7.0,1.0,-4.579,0.0571,0.182,0.00018899999999999999,0.293,0.716,94.979,235411.0
AM,"Nio Garcia, Flow La Movie",0.83,0.517,6.0,0.0,-6.416,0.33299999999999996,0.39899999999999997,8.950000000000001e-05,0.0916,0.616,171.959,182496.0
AM I DREAMING (feat. Miley Cyrus),"Lil Nas X, Miley Cyrus",0.629,0.445,3.0,1.0,-6.999,0.0258,0.77,2.92e-06,0.35100000000000003,0.209,94.103,183241.0
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",0.743,0.655,6.0,0.0,-5.015,0.159,0.114,0.0,0.0764,0.785,172.03099999999995,261335.0
AMAZING,Rex Orange County,0.7190000000000001,0.461,8.0,1.0,-8.191,0.0454,0.27899999999999997,0.0,0.0875,0.5479999999999999,123.915,209200.0
ANTES QUE SE ACABE,Bad Bunny,0.693,0.5489999999999999,2.0,1.0,-6.098,0.0577,0.505,4.73e-05,0.324,0.473,139.988,221187.0
